123, 123, 123, 123, 123, 321. 123, 321, 123, 534534, 23434
12312, 12312312, 3123, 3123, 123123, 123. 123, 123, 321, 3121, 312
123, 32, 123, 123, 321, 123. 312, 123, 312, 123, 312
123, 123, 123, 123, 123, 312. 321, 312, 312, 312, 312
1.1, 123, 123, 123, 123, 123. 321, 321, 123, 321, 123
123, 123, 123, 123, 123, 123. 321, 123, 321, 123, 321
2, 3, 123, 123, 123, 123. 123, 123, 123, 123, 123
3, 4, 123, 123, 123, 123. 123, 123, 123, 123, 123
3, 4, 123, 123, 123, 123. 123, 123, 123, 123, 123
3, 2, 123, 123, 123, 123. 123, 123, 123, 123, 123
10, 5, 123, 123, 123, 123. 1233, 123, 123, 123, 123
123, 123, 123, 123, 123, 4. 123, 123, 123, 123, 123
123, 123, 123, 123, 123, 4. 123, 123, 123, 123, 123
4, 5, 23, 23, 32, 13. 123, 321, 123, 123, 123
123123, 1231, 23123, 23123, 123, 123. 123, 312, 13, 123, 213123
рпа, 5342, 123, 123, 2, 67. 123, 123, 123, 534534, 312
123, 123, 123, 123, 321, 13. 321, 123, 312, 123, 321
